,Unnamed: 0,qtd
0,Anápolis,41566
1,Aparecida de Goiânia,41437
2,Águas Lindas de Goiás,35168
3,Goiânia,34081
4,Formosa,16033
5,Itumbiara,15639
6,Caldas Novas,12498
7,Jataí,10262
8,Itaberaí,8303
9,Goianésia,8199
10,Jaraguá,6802
11,Luziânia,6376
12,Catalão,5814
13,Itapuranga,5269
14,Alexânia,5218
15,Aragarças,5080
16,Jussara,4678
17,Campos Belos,4074
18,Bom Jesus de Goiás,4016
19,Acreúna,3952
20,Anicuns,3872
21,Itapaci,3688
22,Caiapônia,3475
23,Bela Vista de Goiás,3382
24,Goianápolis,2967
25,Aragoiânia,2785
26,Abadia de Goiás,2712
27,Cachoeira Alta,2584
28,Caçu,2527
29,Bom Jardim de Goiás,2501
30,Barro Alto,2460
31,Itapirapuã,2420
32,Alvorada do Norte,2252
33,Cabeceiras,2228
34,Araguapaz,2196
35,Campinorte,2148
36,Bonfinópolis,1884
37,Divinópolis de Goiás,1871
38,Campo Limpo de Goiás,1863
39,Aruanã,1838
40,Leopoldo de Bulhões,1801
41,Cachoeira Dourada,1799
42,Abadiânia,1769
43,Carmo do Rio Verde,1697
44,Alto Paraíso de Goiás,1634
45,Campos Verdes,1569
46,Itauçu,1567
47,Formoso,1556
48,Britânia,1556
49,Alto Horizonte,1487
50,Buriti Alegre,1445
51,Itarumã,1367
52,Jandaia,1342
53,Itajá,1332
54,Campo Alegre de Goiás,1330
55,Itaguaru,1329
56,Água Fria de Goiás,1315
57,Amorinópolis,1236
58,Americano do Brasil,1197
59,Amaralina,1178
60,Itaguari,1154
61,Ivolândia,1069
62,Baliza,1068
63,Araçu,1066
64,Joviânia,1059
65,Campinaçu,1051
66,Aurilândia,1042
67,Bonópolis,1036
68,Castelândia,1027
69,Buritinópolis,1017
70,Campestre de Goiás,955
71,Brazabrantes,942
72,Jaupaci,891
73,Avelinópolis,882
74,Caldazinha,854
75,Goiandira,773
76,Aporé,746
77,Buriti de Goiás,742
78,Arenópolis,723
79,Aparecida do Rio Doce,692
80,Gameleira de Goiás,679
81,Jesúpolis,669
82,Adelândia,667
83,Lagoa Santa,545
84,Água Limpa,525
85,Aloândia,480
86,Cachoeira de Goiás,475
87,Israelândia,364
88,Anhanguera,267
