cidade,qtd_registro,latitude,longitude
Anápolis,41566,-16.3281,-48.953
Aparecida de Goiânia,41437,-16.8198,-49.2469
Águas Lindas de Goiás,35168,-15.7617,-48.2816
Goiânia,34081,-16.6864,-49.2643
Formosa,16033,-15.54,-47.336999999999996
Itumbiara,15639,-18.4093,-49.2158
Caldas Novas,12498,-17.7441,-48.6246
Jataí,10262,-17.8784,-51.7204
Itaberaí,8303,-16.0206,-49.806000000000004
Goianésia,8199,-15.3118,-49.1162
Jaraguá,6802,-15.7529,-49.3344
Luziânia,6376,-16.253,-47.95
Catalão,5814,-18.1656,-47.943999999999996
Itapuranga,5269,-15.5606,-49.949
Alexânia,5218,-16.0834,-48.5076
Aragarças,5080,-15.8955,-52.2372
Jussara,4678,-15.8659,-50.8668
Campos Belos,4074,-13.035,-46.7681
Bom Jesus de Goiás,4016,-18.2173,-49.74
Acreúna,3952,-17.396,-50.3749
Anicuns,3872,-16.4642,-49.9617
Itapaci,3688,-14.9522,-49.5511
Caiapônia,3475,-16.9539,-51.8091
Bela Vista de Goiás,3382,-16.9693,-48.9513
Goianápolis,2967,-16.5098,-49.0234
Aragoiânia,2785,-16.9087,-49.4476
Abadia de Goiás,2712,-16.7573,-49.4412
Cachoeira Alta,2584,-18.7618,-50.9432
Caçu,2527,-18.5594,-51.1328
Bom Jardim de Goiás,2501,-16.2063,-52.1728
Barro Alto,2460,-14.9658,-48.9086
Itapirapuã,2420,-15.8205,-50.6094
Alvorada do Norte,2252,-14.4797,-46.49100000000001
Cabeceiras,2228,-15.7995,-46.9265
Araguapaz,2196,-15.0909,-50.6315
Campinorte,2148,-14.3137,-49.1511
Bonfinópolis,1884,-16.6173,-48.9616
Divinópolis de Goiás,1871,-13.2853,-46.3999
Campo Limpo de Goiás,1863,-16.2971,-49.0895
Aruanã,1838,-14.9166,-51.075
Leopoldo de Bulhões,1801,-16.619,-48.7428
Cachoeira Dourada,1799,-18.4859,-49.4766
Abadiânia,1769,-16.197,-48.7057
Carmo do Rio Verde,1697,-15.3549,-49.708
Alto Paraíso de Goiás,1634,-14.1305,-47.51
Campos Verdes,1569,-14.2442,-49.6528
Itauçu,1567,-16.2029,-49.6109
Formoso,1556,-13.6499,-48.8775
Britânia,1556,-15.2428,-51.1602
Alto Horizonte,1487,-14.1978,-49.3378
Buriti Alegre,1445,-18.1378,-49.0404
Itarumã,1367,-18.7646,-51.3485
Jandaia,1342,-17.0481,-50.1453
Itajá,1332,-19.0673,-51.5495
Campo Alegre de Goiás,1330,-17.6363,-47.7768
Itaguaru,1329,-15.7565,-49.6354
Água Fria de Goiás,1315,-14.9778,-47.7823
Amorinópolis,1236,-16.6151,-51.0919
Americano do Brasil,1197,-16.2514,-49.9831
Amaralina,1178,-13.9236,-49.2962
Itaguari,1154,-15.918,-49.6071
Ivolândia,1069,-16.5995,-50.7921
Baliza,1068,-16.1966,-52.5393
Araçu,1066,-16.3563,-49.6804
Joviânia,1059,-17.802,-49.6197
Campinaçu,1051,-13.787,-48.5704
Aurilândia,1042,-16.6773,-50.4641
Bonópolis,1036,-13.6329,-49.8106
Castelândia,1027,-18.0921,-50.203
Buritinópolis,1017,-14.4772,-46.4076
Campestre de Goiás,955,-16.7624,-49.695
Brazabrantes,942,-16.4281,-49.3863
Jaupaci,891,-16.1773,-50.9508
Avelinópolis,882,-16.4672,-49.7579
Caldazinha,854,-16.7117,-49.0013
Goiandira,773,-18.1352,-48.0875
Aporé,746,-18.9607,-51.9232
Buriti de Goiás,742,-16.1792,-50.4302
Arenópolis,723,-16.3837,-51.5563
Aparecida do Rio Doce,692,-18.2941,-51.1516
Gameleira de Goiás,679,-16.4854,-48.6454
Jesúpolis,669,-15.9484,-49.3739
Adelândia,667,-16.4127,-50.1657
Lagoa Santa,545,-19.1832,-51.3998
Água Limpa,525,-18.0771,-48.7603
Aloândia,480,-17.7292,-49.4769
Cachoeira de Goiás,475,-16.6635,-50.646
Israelândia,364,-16.3144,-50.9087
Anhanguera,267,-18.3339,-48.2204
